timestamp,palm_x,palm_y,index_x,index_y,index_z,hand_scale,frame_index
69.671387333,0.35002393027146655,0.6661055286725363,0.4549219012260437,0.4746512770652771,-0.0371607281267643,0.20370999371300705,0
69.70472575,0.34987419346968335,0.6665705343087515,0.4548715353012085,0.4764176607131958,-0.03822878375649452,0.20385140220994474,1
69.738289625,0.35028842588265735,0.6666388312975565,0.45489737391471863,0.4768441319465637,-0.038566529750823975,0.20356567758112146,2
69.773043875,0.35010520617167157,0.6675697167714437,0.45487216114997864,0.4765242338180542,-0.03766699507832527,0.2035508539061922,3
69.804629,0.34985969463984173,0.6665543615818024,0.45497623085975647,0.47358638048171997,-0.04140898585319519,0.20309883037542348,4
69.838410875,0.3495744268099467,0.6643872658411661,0.4494428336620331,0.4634822607040405,-0.04471776261925697,0.2036230502043604,5
69.871562458,0.3481502483288447,0.6626284718513489,0.4383009672164917,0.4462987184524536,-0.04346892237663269,0.20939284165199862,6
69.90501075,0.34533481299877167,0.6592904130617777,0.4276924729347229,0.43806004524230957,-0.04032326117157936,0.21029225803228258,7
69.938206041,0.3374641537666321,0.656624952952067,0.40627357363700867,0.4209219813346863,-0.04949278011918068,0.213326769174937,8
69.971749666,0.3300047566493352,0.6540817121664683,0.38182878494262695,0.40843456983566284,-0.04530118778347969,0.21738979277282847,9
70.004068875,0.3236452390750249,0.6489463249842325,0.35985350608825684,0.39476436376571655,-0.04297744855284691,0.22126047399107474,10
70.038135083,0.320057546099027,0.6450946927070618,0.33991655707359314,0.39352095127105713,-0.03508570417761803,0.22827745096702243,11
70.071033166,0.3126825988292694,0.6568123797575632,0.31784549355506897,0.39097434282302856,-0.04834913834929466,0.22242065458589869,12
70.105013375,0.3052561531464259,0.6489768326282501,0.29495537281036377,0.3900449275970459,-0.03735766187310219,0.23058067935530904,13
70.137361958,0.30055951078732807,0.6532383362452189,0.2792305052280426,0.39889830350875854,-0.0421147383749485,0.22951889902785566,14
70.171069416,0.296017549932003,0.6575461129347483,0.2722727656364441,0.4074303209781647,-0.03957217559218407,0.22698968915295556,15
